Location,zip_code
"(41.87207763285, -87.6295437729)",60605
"(41.842052, -87.617)",60616
"(41.89841768945, -87.6865960164)",60622
"(41.918216, -87.656936)",60614
"(41.878287, -87.643909)",60661
"(42.018901, -87.690048)",60645
"(41.97491129677, -87.6925025594)",60612
"(41.925905, -87.64926)",60614
"(41.93058537138, -87.7237773635)",60647
"(41.895966, -87.667747)",60622
"(41.858086, -87.651073)",60608
"(41.8694821, -87.6554864)",60607
"(41.85795, -87.640826)",60616
"(41.823613, -87.650931)",60609
"(41.89691, -87.621743)",60611
"(41.891072, -87.666611)",60642
"(42.00104377979, -87.6611982433)",60626
"(41.84447501366, -87.7020130128)",60623
"(41.864059, -87.623727)",60605
"(41.852619, -87.626488)",60616
"(41.743116, -87.6148)",60619
"(41.802406, -87.586924)",60615
"(41.929546, -87.643118)",60614
"(41.97561480459, -87.6794590387)",60640
"(41.87651122881695, -87.62054800987242)",60605
"(41.975672, -87.709261)",60625
"(41.830629, -87.64129)",60609
"(41.838198, -87.645143)",60616
"(41.95600355078549, -87.68016144633293)",60618
"(41.857813, -87.62455)",60616
"(41.893992, -87.629318)",60654
"(41.979762, -87.67753)",60640
"(41.920082, -87.677855)",60647
"(41.860384, -87.625813)",60616
"(41.907655, -87.672552)",60622
"(42.00445062934, -87.6724024047)",60626
"(41.917108034789315, -87.71022096276283)",60647
"(41.895748, -87.620104)",60611
"(41.946655, -87.683359)",60618
"(41.902997, -87.683825)",60622
"(41.865054, -87.656959)",60608
"(41.96152593287, -87.6911650414)",60618
"(41.89936843921, -87.6484798752)",60642
"(41.902924, -87.637715)",60610
"(41.91468, -87.64332)",60614
"(41.969517, -87.654691)",60640
"(41.904613, -87.640552)",60610
"(41.867888, -87.623041)",60605
"(41.901315, -87.677409)",60622
"(41.954177, -87.664358)",60613
"(41.903119, -87.673935)",60622
"(41.900363, -87.696704)",60622
"(41.92533, -87.6658)",60614
"(41.885502, -87.716866)",60624
"(41.809835, -87.599383)",60653
"(41.902893, -87.687275)",60622
"(41.936266, -87.652662)",60657
"(41.76218896038, -87.55927465)",60649
"(42.032562, -87.679101)",60202
"(41.89122, -87.67686)",60622
"(41.94334, -87.67097)",60657
"(41.78059901484, -87.606112388)",60637
"(41.838842, -87.621857)",60616
"(41.868968, -87.659141)",60607
"(41.94524356848, -87.7066499009)",60618
"(41.870769, -87.625734)",60605
"(41.78794281287, -87.5883151702)",60637
"(41.887664, -87.765469)",60644
"(41.950687, -87.6687)",60613
"(41.946176, -87.673308)",60613
"(41.912133, -87.634656)",60614
"(41.967094, -87.679028)",60625
"(41.89993001, -87.63443007)",60610
"(41.82168, -87.6216)",60653
"(41.90965687563, -87.7166319516)",60651
"(41.965221, -87.658139)",60640
"(41.911974, -87.631942)",60614
"(41.954245, -87.654406)",60613
"(41.891795, -87.658751)",60642
"(41.92409085038, -87.6764600747)",60614
"(41.867227, -87.625961)",60605
"(41.928887, -87.658971)",60614
"(41.799568, -87.594747)",60615
"(41.940106, -87.645451)",60657
"(41.90345, -87.667747)",60622
"(41.91844, -87.65222)",60614
"(41.768938, -87.652934)",60621
"(41.90230870122, -87.627690528)",60611
"(41.911386, -87.638677)",60614
"(41.911722, -87.626804)",60614
"(41.932225, -87.658617)",60614
"(41.894503, -87.617854)",60611
"(41.929567, -87.707857)",60647
"(41.8985866514, -87.6219152258)",60611
"(42.01213227742, -87.6829126443)",60645
"(41.891466, -87.626761)",60611
"(41.93258963429789, -87.66593635082245)",60614
"(41.85308455741279, -87.63193130493164)",60616
"(41.89257, -87.614492)",60611
"(41.87772613, -87.65478743)",60607
"(41.94018, -87.65304)",60657
"(41.939365, -87.668385)",60657
"(41.968812, -87.657659)",60640
"(41.805661, -87.683392)",60609
"(41.963004, -87.684781)",60625
"(41.96649453206122, -87.68841862678528)",60625
"(41.894722, -87.634362)",60654
"(41.809443, -87.591875)",60615
"(41.89380805624359, -87.64169722795485)",60654
"(41.91849115368695, -87.69742280244827)",60647
"(41.898203, -87.637536)",60610
"(42.052939, -87.673447)",60208
"(41.912616, -87.681391)",60647
"(41.857556, -87.661535)",60608
"(41.922167, -87.638888)",60614
"(41.922695, -87.697153)",60647
"(41.857611, -87.619407)",60616
"(41.871262, -87.673688)",60612
